,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
337,65.02375727745793,80.99153556019323,72.10342119368966,1,4,3
338,65.02375727745793,80.99153556019323,72.10342119368966,1,4,3
339,67.45283728129182,79.40199782415316,77.47829457589128,1,3,2
340,45.888289219868795,66.47489065514812,55.894115194803966,1,2,1
341,63.18991860699039,88.05553425735782,86.44239029853136,1,3,2
342,63.18991860699039,88.05553425735782,86.44239029853136,1,3,2
343,50.84302643911326,79.42377395182505,79.7951481878783,1,2,1
344,50.84302643911326,79.29163600657476,79.7951481878783,1,2,1
345,34.36472464036657,53.31633876800211,34.364724640366575,0,1,1
346,82.63271232877926,90.9441292068046,99.17539405825819,2,3,1
347,82.63271232877926,90.9441292068046,99.17539405825819,2,3,1
348,69.66310406868583,78.7230635881064,86.78547204360852,1,2,1
349,31.315730580635236,47.53420171332649,32.61032554468785,1,2,1
350,31.315730580635236,47.53420171332649,32.61032554468785,1,2,1
351,65.71697599536228,70.0369010188109,65.71697599536228,0,2,2
352,41.90552936832054,64.8970772694216,57.905780288956315,1,3,2
353,41.90552936832054,64.8970772694216,57.905780288956315,1,3,2
354,28.50735533845422,51.03628183553327,55.38180573299807,2,2,0
355,84.73999492473551,85.88464764361625,115.88464827231103,1,1,0
356,84.73999492473551,85.88464764361625,115.88464827231103,1,1,0
357,27.15419084725366,61.92733582990887,65.85899480405448,2,2,0
358,42.2240660421063,42.2240660421063,42.2240660421063,0,0,0
359,42.2240660421063,42.2240660421063,42.2240660421063,0,0,0
360,85.45717096392207,106.31271340420437,85.45717096392204,0,2,2
361,51.09095631456433,74.64378347465374,76.15483167883494,1,2,1
362,51.09095631456433,74.64378347465374,76.15483167883494,1,2,1
363,54.490947424582636,89.6654190423721,59.891165357301674,1,2,1
364,58.762260619125634,79.99249632019252,58.762260619125634,0,1,1
365,58.762260619125634,79.99249632019252,58.762260619125634,0,1,1
366,53.72456750739623,53.72456750739623,53.72456750739623,0,0,0
367,58.134119254813896,72.34041308252291,58.134119254813896,0,1,1
368,58.134119254813896,72.34041308252291,58.134119254813896,0,1,1
369,52.00426570202134,72.23791108843096,52.00426570202134,0,1,1
370,52.00426570202134,72.23791108843096,52.00426570202134,0,1,1
371,37.99690040018614,61.49448959375018,73.85282054570922,2,2,0
372,73.27016992307405,73.27016992307405,73.27016992307406,0,0,0
373,40.52304387196727,71.00316465522977,83.10540974697652,2,2,0
374,40.52304387196727,71.00316465522977,83.10540974697652,2,2,0
375,53.35464450715187,70.00840262937948,58.11052886825563,1,2,1
376,67.88995082327841,83.72418256514902,67.88995082327841,0,1,1
377,67.88995082327841,83.72418256514902,67.88995082327841,0,1,1
378,53.831108151008166,67.95708895817236,53.83110815100817,0,2,2
379,72.02161616004874,87.33592288915239,77.9990317514504,1,3,2
380,72.02161616004874,87.33592288915239,77.9990317514504,1,3,2
381,56.71930435599532,81.654046228848,80.40207807969804,1,3,2
382,71.79376889391037,73.53385713635721,102.83021823231687,2,2,0
383,71.79376889391037,73.53385713635721,102.83021823231687,2,2,0
384,55.43017514782625,80.98327983508402,55.43017514782625,0,2,2
385,27.99173805679089,54.723116472673425,57.898158610546005,1,1,0
386,27.99173805679089,54.723116472673425,57.898158610546005,1,1,0
387,34.71681771559255,69.86946809992672,44.830563997123484,1,3,2
388,44.20531717954481,57.370496744291195,44.20531717954481,0,1,1
389,44.20531717954481,57.370496744291195,44.20531717954481,0,1,1
390,51.01233150729143,81.16129744456228,89.61114632458923,2,2,0
391,51.01233150729143,81.16129744456228,89.61114632458923,2,2,0
392,43.91639475969477,66.5626463410994,55.994051330846396,1,2,1
393,51.26915264502925,51.26915264502925,51.26915264502925,0,0,0
394,51.26915264502925,51.26915264502925,51.26915264502925,0,0,0
395,62.321388396730505,85.00902582499694,92.2478346359841,1,1,0
396,43.60250133499123,68.87468821716996,43.60250133499123,0,2,2
397,64.504042932786,89.1030808102031,90.14588152964306,1,2,1
398,57.87924158703508,85.95938308219118,57.87924158703508,0,3,3
399,57.87924158703508,85.95938308219118,57.87924158703508,0,3,3
400,28.07628281083152,36.02502053954595,40.78169837738821,1,2,1
401,28.07628281083152,36.02502053954595,40.78169837738821,1,2,1
402,45.755619906001655,73.75796367794987,71.57755258634083,1,3,2
403,58.095532107639485,83.61647839218494,58.095532107639485,0,2,2
404,58.095532107639485,83.61647839218494,58.095532107639485,0,2,2
405,69.69198444615176,80.53401017822861,82.05500759182038,1,2,1
406,46.262509093979034,67.69858687928892,73.29951874621581,1,1,0
407,46.262509093979034,67.69858687928892,73.29951874621581,1,1,0
408,47.741052344509505,77.0105856358156,47.24733085303827,1,1,0
409,79.4088125851166,91.15673777041681,106.15007775975877,1,2,1
410,79.4088125851166,91.15673777041681,106.15007775975877,1,2,1
411,89.12791278249915,89.12791278249915,89.12791278249915,0,0,0
412,57.36386305594855,58.405254534603664,68.20342121899702,1,1,0
413,57.36386305594855,58.405254534603664,68.20342121899702,1,1,0
414,73.18191679273403,89.28847245933005,103.32038914182871,1,1,0
415,44.76945514104757,63.35806290214178,62.197538404759925,2,2,0
416,44.76945514104757,63.35806290214178,62.197538404759925,2,2,0
417,56.94958535088697,80.05900220464551,56.94958535088698,0,1,1
418,57.00734092146121,79.87482563199997,102.48258126405057,3,3,0
419,57.00734092146121,79.874824773059,90.35299832789978,3,3,0
420,56.23678625302868,56.23678625302868,56.23678625302868,0,0,0
421,66.68027675665856,91.4850796293114,66.68027675665856,0,1,1
